#h	Amm
0	1002.4
0.067125	1002.4
0.119625	1002.4
0.169625	1002.4
0.222125	1002.4
0.27225	1002.4
0.319625	1002.4
0.36725	1002.4
0.40475	1002.4
0.442375	1002.4
0.49225	1002.4
0.539625	1002.4
0.587125	1002.4
0.642125	1002.4
0.692125	1002.4
0.74225	1002.4
0.794625	1002.4
0.85225	1002.4
0.902375	1002.4
0.952375	975.253
1.0845	925.846
1.20213	881.308
1.38187	814.684
1.51188	757.745
1.64175	710.869
1.76925	657.602
1.90687	610.945
2.05925	548.496
2.22425	482.672
2.29675	452.059
